family,family_label,case_id,dam_height,hydraulic_case_id,h_local_max,u_x_max,u_mag_max,u_at_hmax,h_at_umax,max_h_u2,momentum_flux_proxy,Fr,time_hmax,time_umax,boulder_mass,mstar,friction_coefficient,criterion_class,disp_pct_deq,margin_pct,max_displacement_m,max_rotation_deg,max_velocity_ms,source_csv
al2,AL2,al2_highH_m115_mu0740,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.15,1.15,0.74,FALLO,6.719339386567072,-1.7193393865670723,0.0067476278053845,5.9315724706067305,0.1001777336337771,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
al4,AL4,al4_highH_m115_mu0750,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.15,1.15,0.75,FALLO,5.453923136220961,-0.4539231362209612,0.0054768609622665,5.525694004236292,0.1002062403695498,exports\al_batch4_after_al3_20260520\al_batch4_summary.csv
al6,AL6,al6_highH_m115_mu07525,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.15,1.15,0.7525,FALLO,5.397515365925935,-0.3975153659259351,0.0054202159551072,5.248340502043649,0.100231693525551,exports\al_batch6_after_al5_20260523\al_batch6_summary.csv
al5,AL5,al5_highH_m115_mu0755,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.15,1.15,0.755,ESTABLE,3.469342801926853,1.530657198073147,0.0034839339833013,5.193639120726291,0.1002531193878774,exports\al_batch5_after_al4_20260522\al_batch5_summary.csv
al3,AL3,al3_highH_m115_mu0760,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.15,1.15,0.76,ESTABLE,4.287427834924694,0.7125721650753061,0.0043054779061097,5.1661728377231215,0.1002687840805901,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv
al3,AL3,al3_highH_m115_mu0780,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.15,1.15,0.78,ESTABLE,1.8950661744606223,3.104933825539377,0.0019030444030551,4.738286067156607,0.1003058415098542,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv
al1,AL1,al1_highH_m115_mu0800,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.15,1.15,0.8,ESTABLE,1.293411268927378,3.706588731072622,0.0012988510307192,4.759268189668308,0.1002960776251992,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv
al1,AL1,al1_base_m125_mu0600,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.25,1.25,0.6,ESTABLE,1.2313007354659906,3.7686992645340096,0.001236479276009,4.797483004536799,0.0999956834768381,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv
batch4,Batch 4 masa,batch4_mass_m125_H0200_mu0675,0.2,hydro_unblocked_H0200,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,1.25,1.25,0.675,ESTABLE,1.2314766942152948,3.768523305784705,0.0012366559747965,4.626925112464485,0.0999966822049611,exports\batch4_mass_probe_20260513\batch4_summary.csv
al7,AL7 local,al7_midH_m125_mu0560,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.25,1.25,0.56,FALLO,26.62326466020316,-21.62326466020316,0.0267353486044226,8.283889520409453,0.0999976809431098,exports\al_batch7_localgp_20260527\al_batch7_summary.csv
al8,AL8,al8_midH_m125_mu05900,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.25,1.25,0.59,FALLO,5.18663964781214,-0.1866396478121403,0.0052084754007294,5.218928936486488,0.0999987296219307,exports\al_batch8_after_al7_20260528\al_batch8_summary.csv
al8,AL8,al8_midH_m125_mu06000,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.25,1.25,0.6,ESTABLE,2.93864507814798,2.06135492185202,0.0029510167739269,5.358287907018589,0.0999945848583812,exports\al_batch8_after_al7_20260528\al_batch8_summary.csv
al8,AL8,al8_midH_m125_mu06200,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.25,1.25,0.62,ESTABLE,1.8500457992751247,3.149954200724875,0.00185783449209,4.588440588280791,0.0999956335346699,exports\al_batch8_after_al7_20260528\al_batch8_summary.csv
al8,AL8,al8_midH_m125_mu06300,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.25,1.25,0.63,ESTABLE,1.479917923062014,3.520082076937986,0.0014861483775181,4.6102639495988,0.0999935362460994,exports\al_batch8_after_al7_20260528\al_batch8_summary.csv
al6,AL6,al6_midH_m125_mu0640,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.25,1.25,0.64,ESTABLE,1.3145565310866854,3.685443468913314,0.0013200852245214,4.68030310372114,0.0999945848583812,exports\al_batch6_after_al5_20260523\al_batch6_summary.csv
al5,AL5,al5_midH_m125_mu0660,0.21,hydro_unblocked_H0210,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,1.25,1.25,0.66,ESTABLE,1.232463932307225,3.767536067692775,0.001237647364963,4.722999689037697,0.0999955836124776,exports\al_batch5_after_al4_20260522\al_batch5_summary.csv
al2,AL2,al2_highH_m125_mu0660,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.25,1.25,0.66,FALLO,16.33801132709198,-11.33801132709198,0.016406794354779,7.12276214802256,0.0999955836124776,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv
al4,AL4,al4_highH_m125_mu0680,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.25,1.25,0.68,FALLO,6.201646238540226,-1.201646238540226,0.0062277287994899,5.970220107085424,0.099996632273292,exports\al_batch4_after_al3_20260520\al_batch4_summary.csv
al6,AL6,al6_highH_m125_mu0685,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.25,1.25,0.685,ESTABLE,4.071307855635756,0.928692144364244,0.0040884307503003,5.1334103331249175,0.0999987296219307,exports\al_batch6_after_al5_20260523\al_batch6_summary.csv
al5,AL5,al5_highH_m125_mu0690,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.25,1.25,0.69,ESTABLE,3.343685653610637,1.656314346389363,0.0033577483526912,4.925596123272231,0.1000025253131139,exports\al_batch5_after_al4_20260522\al_batch5_summary.csv
al3,AL3,al3_highH_m125_mu0700,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.25,1.25,0.7,ESTABLE,2.9538365876634742,2.0461634123365258,0.0029662722396975,4.939039754941896,0.1000422883934589,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv
al1,AL1,al1_highH_m125_mu0740,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.25,1.25,0.74,ESTABLE,1.2659295313617436,3.734070468638256,0.0012712537118921,4.843970472307585,0.1001777336337771,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv
batch4,Batch 4 masa,batch4_mass_m125_H0225_mu0800,0.225,hydro_unblocked_H0225,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,1.25,1.25,0.8,ESTABLE,1.2337116386369946,3.7662883613630056,0.0012389003188311,4.833981138426475,0.1002960776251992,exports\batch4_mass_probe_20260513\batch4_summary.csv
